Latitude,Longitude,Elevation
-27.63627325,27.235904,1407.599853515625
-27.6362725,27.235903,1407.602416992188
-27.63627175,27.235902,1407.604858398438
-27.636271,27.235901,1407.607421875
-27.636271,27.2359,1407.60888671875
-27.636271,27.235899,1407.6103515625
-27.636271,27.235898,1407.61181640625
-27.636271,27.235897,1407.61328125
-27.636271,27.235897,1407.61328125
-27.636271,27.235897,1407.61328125
-27.636271,27.235897,1407.61328125
-27.636271,27.235897,1407.61328125
-27.63627,27.235897,1407.61474609375
-27.636269,27.235897,1407.6162109375
-27.636268,27.235897,1407.61767578125
-27.636267,27.235897,1407.619140625
-27.636267,27.235897,1407.619140625
-27.636267,27.235897,1407.619140625
-27.636267,27.235897,1407.619140625
-27.636267,27.235897,1407.619140625
-27.636268,27.235897,1407.61767578125
-27.636269,27.235897,1407.6162109375
-27.63627,27.235897,1407.61474609375
-27.636271,27.235897,1407.61328125
-27.63627175,27.235897,1407.612182617188
-27.6362725,27.235897,1407.611083984375
-27.63627325,27.235897,1407.609985351562
-27.636274,27.235897,1407.60888671875
-27.6362755,27.235898,1407.605224609375
